Milliseconds,Seconds,Latitude,Lat Degree,Lat Minute,Lat Second,Longitude,Long Degree,Long Minute,Long Second,Altitude,Speed,AcclX,AcclY,AcclZ,GyroX,GyroY,GyroZ,Course,Heading
66000,66,49.2434216,49,14,36.31776,-121.8875449,-121,-53,-15.16164,672.325,0.261,9.51558753,0.127098321,2.726618705,0.003194888,0.014909478,0.02342918,44,45
67026,67,49.2434202,49,14,36.31272,-121.8875409,-121,-53,-15.14724,672.576,0.286,9.568345324,-0.110311751,2.148681055,2.170394036,0.097976571,0.29286475,45.4,48.4
68014,68,49.2434238,49,14,36.32568,-121.8875405,-121,-53,-15.1458,672.63,0.173,9.647482014,0.513189448,3.606714628,0.034078807,-0.029818956,0.040468584,45,46
69006,69,49.2434235,49,14,36.3246,-121.8875387,-121,-53,-15.13932,672.237,0.225,9.354916067,0.23501199,2.505995204,0.074547391,-0.031948882,0.007454739,44,44
70015,70,49.2434235,49,14,36.3246,-121.8875435,-121,-53,-15.1566,671.313,0.213,9.458033573,0.189448441,2.652278177,0.207667732,0.003194888,0.010649627,39.7,41.7
71005,71,49.2434247,49,14,36.32892,-121.8875436,-121,-53,-15.15696,670.985,0.138,9.537170264,0.182254197,2.649880096,0.083067093,0.088391906,0,41.4,42.4
72050,72,49.2434217,49,14,36.31812,-121.8875474,-121,-53,-15.17064,671.133,0.826,7.911270983,1.944844125,0.743405276,0.194888179,-0.755058573,0.18743344,45.3,48.3
73002,73,49.2434149,49,14,36.29364,-121.8875574,-121,-53,-15.20664,670.768,0.726,9.383693046,-1.657074341,-3.513189448,-0.056443024,-0.455804047,0.090521832,45.8,45.8
74011,74,49.2434171,49,14,36.30156,-121.8875545,-121,-53,-15.1962,670.894,0.399,8.414868106,-0.3117506,-5.232613909,1.958466454,-0.075612354,-1.891373802,72.1,75.1
75020,75,49.243416,49,14,36.2976,-121.8875455,-121,-53,-15.1638,671.293,0.656,5.525179856,-6.64028777,-3.896882494,0.447284345,1.661341853,-0.045793397,91,89
76010,76,49.2434118,49,14,36.28248,-121.8875433,-121,-53,-15.15588,671.377,0.678,11.85371703,-1.729016787,9.254196643,-0.371671991,-0.177848775,0.254526092,215.4,215.4
77000,77,49.2433991,49,14,36.23676,-121.8875655,-121,-53,-15.2358,670.419,2.237,4.434052758,-5.618705036,4.364508393,0.112886049,-0.526091587,0.562300319,210.9,207.9
78045,78,49.2433728,49,14,36.14208,-121.8876055,-121,-53,-15.3798,669.365,3.781,3.513189448,-4.129496403,3.194244604,0.323748669,-0.769968051,0.106496273,208.3,211.3
79034,79,49.2433428,49,14,36.03408,-121.8876498,-121,-53,-15.53928,668.008,4.514,6.762589928,-6.498800959,2.561151079,0.343982961,0.443024494,-0.197018104,217.8,217.8
80025,80,49.2433064,49,14,35.90304,-121.8877097,-121,-53,-15.75492,665.957,5.923,5.100719424,-0.477218225,8.932853717,0.121405751,0.071352503,-0.267305644,212,212
